station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,station_distance
C308C-002,SD,2023-06-15,17:05,NA,+4,2023-06-15T17:05-04:00,-70.8033,41.3818,17.29,31.837,114.00,NA
C308C-002,HC,2023-06-15,17:19,NA,+4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.840,116.00,NA
C308C-002,NT,2023-06-15,17:49,18:04,+4,2023-06-15T17:49-04:00,-70.7885,41.3963,17.11,31.820,133.00,987.5464214596828
C308C-003,SD,2023-06-16,09:49,NA,+4,2023-06-16T09:49-04:00,-70.9753,41.2411,16.21,31.614,100.00,NA
C308C-003,HC,2023-06-16,10:13,NA,+4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605, 80.00,NA
C308C-003,NT,2023-06-16,11:06,11:21,+4,2023-06-16T11:06-04:00,-70.9828,41.2593,16.63,31.612, 81.00,899.6624830321997
C308C-004,SD,2023-06-16,14:07,NA,+4,2023-06-16T14:07-04:00,-70.9103,41.4726,18.25,31.798, 83.00,NA
C308C-004,HC,2023-06-16,14:23,NA,+4,2023-06-16T14:23-04:00,-70.9108,41.4757,18.21,31.799, 80.00,NA
C308C-004,NT,2023-06-16,15:28,15:42,+4,2023-06-16T15:28-04:00,-70.8820,41.4703,18.46,31.787,104.00,646.9096008414951
C308C-005,B,2023-06-17,11:45,NA,+4,2023-06-17T11:45-04:00,-70.5830,41.4681,18.33,31.796, 55.00,NA
C308C-006,SD,2023-06-17,15:46,NA,+4,2023-06-17T15:46-04:00,-70.4600,41.4943,18.01,31.438, 84.00,NA
C308C-006,HC,2023-06-17,15:59,NA,+4,2023-06-17T15:59-04:00,-70.4664,41.4935,18.09,31.241, 88.00,NA
C308C-006,NT,2023-06-17,16:38,16:53,+4,2023-06-17T16:38-04:00,-70.4901,41.4947,17.98,31.555, 84.00,1272.7131454200835
